X,Y,ObjectId,Store_Name,Address,Address_Line__2,City,State,Zip5,Zip4,County,Longitude,Latitude
-74.000679,40.64399,2596,Long Fa Market Inc.,4423 8th Ave,,Brooklyn,NY,11220,1513,KINGS,-74.000679,40.64399
-97.11216,33.215763,2597,7-Eleven Convenience Store 37118A,1516 E Mckinney St,,Denton,TX,76209,4526,DENTON,-97.11216,33.215763
-124.17368,47.111191,2598,Copalis Beach Grocery,3090 State Route 109,,Copalis Beach,WA,98535,9710,GRAYS HARBOR,-124.17368,47.111191
-82.605522,31.855911,2599,Cotton Patch Quick Stop,168 S Cromartie St,,Hazlehurst,GA,31539,6461,JEFF DAVIS,-82.605522,31.855911
-73.829849,40.700275,2600,K & S Deli And Convenience Corp.,12003 Jamaica Ave,,Richmond Hill,NY,11418,2522,QUEENS,-73.829849,40.700275
-74.786575,41.329502,2601,Dollar General 17272,556 Route 6 And 209,,Milford,PA,18337,9449,PIKE,-74.786575,41.329502
-85.340401,36.373234,2602,West End Market 14,1400 W Main St,,Livingston,TN,38570,2209,OVERTON,-85.340401,36.373234
-73.866211,40.837532,2603,Jb Gourmet Deli Corp,1822 Archer St,,Bronx,NY,10460,6204,BRONX,-73.866211,40.837532
-121.98833,38.242363,2604,Walmart Supercenter 3708,350 Walters Rd,,Suisun City,CA,94585,3043,SOLANO,-121.98833,38.242363
-70.286957,41.664108,2605,CVS Pharmacy 10852,411 Barnstable Rd,,Hyannis,MA,2601,2934,BARNSTABLE,-70.286957,41.664108
-98.603424,29.520044,2606,Circle K 2741861,8648 Huebner Rd,,San Antonio,TX,78240,1805,BEXAR,-98.603424,29.520044
-94.976273,35.877342,2607,Casey's General Store 3411,3382 S Muskogee Ave,,Tahlequah,OK,74464,,CHEROKEE,-94.976273,35.877342
-84.843979,30.704527,2608,Family Dollar 12478,17 W Washington St,,Chattahoochee,FL,32324,1427,GADSDEN,-84.843979,30.704527
-94.983292,35.918316,2609,Casey's General Store 3412,903 W Downing St,,Tahlequah,OK,74464,,CHEROKEE,-94.983292,35.918316
-82.050194,27.016699,2610,Noroco Group Corp,900 Kings Hwy,,Punta Gorda,FL,33980,4247,CHARLOTTE,-82.050194,27.016699
-94.714462,38.994045,2611,Big Lots 1623,7408 Nieman Rd,,Shawnee,KS,66203,4464,JOHNSON,-94.714462,38.994045
-77.025063,38.942661,2612,777 Market,4239 9th St Nw,,Washington,DC,20011,7217,DIST OF COLUMBIA,-77.025063,38.942661
-121.72069,37.702965,2613,7-Eleven 33005T,245 S Vasco Rd,,Livermore,CA,94551,9203,ALAMEDA,-121.72069,37.702965
-72.30941,41.954342,2614,CVS Pharmacy 10605,37 W Main St,,Stafford Springs,CT,6076,1459,TOLLAND,-72.30941,41.954342
-97.276947,37.40081,2615,Dollar General 15632,305 E 11th St,,Belle Plaine,KS,67013,,SUMNER,-97.276947,37.40081
-95.024429,29.466927,2616,Speed Fuel,5429 Fm 517 Rd E,,Dickinson,TX,77539,7128,GALVESTON,-95.024429,29.466927
-84.461357,34.473637,2617,DOLLARTREE 5724,1101 Old Philadelphia Rd,Ste F,Jasper,GA,30143,4069,PICKENS,-84.461357,34.473637
-96.901527,29.684532,2618,Arlan's Markets 24,236 College St,,Schulenburg,TX,78956,1643,FAYETTE,-96.901527,29.684532
-119.72305,36.809105,2619,Jerusalem  Mediterranean Market,601 West Shaw Avenue,Ave B,Clovis,CA,93612,,FRESNO,-119.72305,36.809105
-92.315834,38.913315,2620,Break Time Convenience 3160 3160,1406 Grindstone Plaza Dr,,Columbia,MO,65201,3774,BOONE,-92.315834,38.913315
-80.055328,34.406204,2621,Short Trip 18,1318 Patrick Hwy,,Hartsville,SC,29550,7760,DARLINGTON,-80.055328,34.406204
-78.656387,34.486477,2622,FAMILY DOLLAR STORE 10953,10528 S College St,,Clarkton,NC,28433,9601,BLADEN,-78.656387,34.486477
-97.102989,32.719788,2623,Sunny's Food Mart,1540 S Center St,,Arlington,TX,76010,4401,TARRANT,-97.102989,32.719788
-80.907867,41.229095,2624,Dollar General 15504,2918 SR 5,,Leavittsburg,OH,44430,,TRUMBULL,-80.907867,41.229095
-84.57309,39.110619,2625,Guatemex LLC,3717 Saint Lawrence Ave,,Cincinnati,OH,45205,1713,HAMILTON,-84.57309,39.110619
-73.917953,40.693954,2626,Banderas Food Corp,388 Central Ave,,Brooklyn,NY,11221,4703,KINGS,-73.917953,40.693954
-81.747925,30.155237,2627,Papa Murphy's Pizza FL001,528 Blanding Blvd,Ste 1,Orange Park,FL,32073,6314,CLAY,-81.747925,30.155237
-111.82266,33.43531,2628,Quick Cash Market,1107 N Mesa Dr,,Mesa,AZ,85201,3502,MARICOPA,-111.82266,33.43531
-73.908264,40.851227,2629,E & K African Market,56 East Tremont Ave,,Bronx,NY,10453,,BRONX,-73.908264,40.851227
